NAZWA_1;NAZWA_2
Piłsudskiego;Józefa
Podmiejska;
Rzeźnicza;
Stamma;Feliksa
Wewnętrzna;
Wokulskiego;Stanisława
Wołyńska;
Zagłoby;
Zygmuntowska;
Śląskiej;Księżnej Jadwigi
Komorowskiego;gen. Tadeusza Bora
Mikulicza;Jana
Limanowskiego;Bolesława
Muzyczna;
Myśliborska;
Reymonta;Władysława
Roosevelta;Franklina
Sporna;
Bolka;
Republikańska;
Dolna;
Linowa;
Skalna;
Kowalska;
Ciasna;
Odrodzenia;
Szosa Czeska;
Wyszyńskiego;ks. kard. Stefana
Węglowa;
Karminowa;
Psie Pole;
Nadwodna;
Polanka;
Tyrolska;
Cegielniana;
Krzeszowska;
Anny;św.
Józefa;św.
Błażejowska;
Kolonia;
Podhalańska;
Gierymskich;Braci
Kłodzko Nowe;
Lisia;
Nad Kanałem;
Warty;
Wojciecha;św.
Wzniesienie;
Dmowskiego;Romana
Głucha;
Grunwaldzka;
Klasztorna;
Kochanowskiego;Jana
Kombatantów;
Konopnickiej;Marii
Lubińska;
Narutowicza;Gabriela
Orzeszkowej;Elizy
Parkowa;
Piwna;
Robotnicza;
Sienkiewicza;Henryka
Słowackiego;Juliusza
Struga;Andrzeja
Wieniawskiego;Henryka
Kisielewskiego;Stefana
Kamiennogórska;
Ludowa;
Ścieżka;
Bystra;
Gimnazjalna;
Grottgera;Artura
Grzybowa;
Nadrzeczna;
Poznańska;
Skośna;
Akacjowa;
Karpacka;
Kasztanowa;
Pensjonatowa;
Przełęcz Okraj;
Różana;
Rzemieślnicza;
Tkaczy;
Cmentarna;
Pakoszowska;
Widok;
Wolska;
Kilińskiego;Jana
Sikorskiego;gen. Władysława
Godebskiego;Cypriana
Żółta;
Mieszczańska;
Na Wzgórzu;
Konwaliowa;
Miarki;Karola
Kunic;Marii
Lechicka;
Marusarzówny;Heleny
Niepodległości;
Przedwiośnie;
Saperów;
Stawki;
Stęczyńskiego;Bogusza
Wałowa;
Wysockiego;Jana
Nad Tamą;
Kraszowicka;
Piasta;
Zimny Dwór;
Zwycięstwa;
Kątecka;
Żwirowa;
Augustianów;
Chwałkowska;
Czysta;
Kryształowicka;
Żabia;
Gwarna;
Bliska;
Centralna;
Przemiła;
Leśne Zacisze;
Bartla;Kazimierza
Dróżnicza;
Słowiańska;
Stara;
Wałbrzyska;
Ziemska;
Brokoffa;Maksymiliana
Podklasztorze;
Celna;
Drzymały;
Matejki;
Orzechowa;
Chełmońskiego;Józefa
Harcerzy;
Hłaski;Marka
Krzywa;
Niska;
Noworudzka;
Nowy Świat;
Zajęcza;
Brzozowie;
Pstrążna;
Miedzianka;
Nowa Osada;
Rolna;
Sybiraków;
Zdrojowisko;
Zielonka;
Gerberowa;
Irysowa;
Jarzębinowa;
Makowa;
Poselska;
Ratowników;
Elektorska;
Kaczanowska;
Karpowa;
Krochmalna;
Plac Wolności;
Melioracyjna;
Skrajna;
Jabłeczna;
Komorowicka;
Osiedleńcza;
Męki Pańskiej;
Różańcowa;
Warowna;
Osińska;
Starzyńskiego;Stefana
Banachiewicza;Tadeusza
Ciołkowskiego;Konstantego
Konarskiego;Stanisława
Lipowe;
Maratońska;
Olszewskiego;Karola
Roweckiego;"gen. Stefana ""Grota"""
Plac Cerkiewny;
Górzysta;
Ząbkowicka;
Miodowa;
Kucego;ks. Jana
Mrozowska;
Wieczysta;
Kosmonautów;
Pogodna;
Mokra;
Porzeczkowa;
Zimowa;
Borowikowa;
Marszowicka;
Orna;
Chwalimierska;
Basztowa;
Czwartaków;
Komunardów;
Kosynierów;
Kotlarska;
Kunegundy;Księżnej
Niecała;
Polna Droga;
Prażmowskiego;Adama
Rolnicza;
Równa;
Serbska;
Szczęśliwa;
Świętojańska;
Tołstoja;Lwa
Zamenhofa;Ludwika
Radosna;
Racławicka;
Liskowa;
Warsztatowa;
Katarzyńska;
Astrowa;
Cukrownicza;
Mościckiego;Ignacego
Stolarska;
Jadwigi;św.
Ogińskiego;Michała Kleofasa
Kotsisa;Aleksandra
Rzeczki Dolne;
Ujazdowski;
Berylowa;
Brylantowa;
Senatorska;
Mariański;
Niezapominajek;
Słodowa;
Stokrotek;
Przedmieście;
Kopernika;
Szklana Góra;
Bielawska;
Ćwiklińskiej;Mieczysławy
Dworcowy;
Słone;
Czarna;
Debry;
Kołowa;
Kombatantów RP;
Mała Kolonia;
Radkowska;
Tuczyn;
Stare Zagórze;
Stachury;Edwarda
Zwycięzców;
Mały Rynek;
Sierpnia;1
Zgody;
Gromadzka;
Gerberów;
Ostrowicza;
Lasek Miejski;
Biedronki;
Łagodna;
Malownicza;
Proszkowicka;
Okulicka;
Strzelców;
Nasławicka;
Mirosławicka;
Prawocińska;
Henryka III;
Brochowska;
Pod Wzgórzem;
Regatowa;
Staropolska;
Niedźwiedzicka;
Nad Basenem;
Pod Skarpą;
Zamknięta;
Baworowo;
Baligrodzka;
Fredry;Aleksandra
Kasprowicza;Jana
Krótka;
Kuziennicza;
Marcina;św.
Nałkowskiej;Zofii
Prosta;
Rynek;
Rzeczna;
Słoneczna;
Staromiejska;
Strzegomska;
Szpitalna;
Traugutta;gen. Romualda
Tuwima;Juliana
Wysokogórska;
Nowa Wieś;
Górna;
Kolorowa;
Mostowa;
Olimpijska;
Orkana;Władysława
Podleśna;
Przemysłowa;
Saneczkowa;
Świętokrzyska;
Na Śnieżkę;
Goździkowa;
Pocztowa;
Jaworowa;
Piastów;
Osiedle Orle;
Sportowy;
Zdrojowa;
Szybowisko;
Płoszczyńska;
Jasnogórska;
Fabryczna;
Śląska;
Włościańska;
Podgórna;
Baczyńskiego;Krzysztofa Kamila
Grabowa;
Jemiołowa;
Jesionowa;
Kalinowa;
Korczaka;Janusza
Kossaka;Wojciecha
Kusocińskiego;Janusza
Młyńska;
Modrzewiowa;
Polna;
Poziomkowa;
Przemkowska;
Rumiankowa;
Skalników;
Stokrotkowa;
Sztygarska;
Żarska;
Gwiezdna;
Jastrzębia;
Lazurowa;
Orbitalna;
Sokola;
Szybowa;
Złota;
Aleja Dębowa;
Malinowa;
Reja;
Morelowa;
Wrocławska;
Siemisławice;
Asnyka;Adama
Chopina;Fryderyka
Dzierżoniowska;
Gliniana;
Brzeskich;Książąt
Poniatowskiego;Księcia Józefa
Zapolskiej;Gabrieli
Żeromskiego;Stefana
Lubowskiego;Edwarda
Bzowa;
Działkowa;
Mylna;
Poprzeczna;
Piękna;
Magnoliowa;
Odrzańska;
Partyzantów;
Sucha;
Dworcowa;
Legnicka;
Mała;
Metalowców;
Morcinka;Gustawa
Piastowska;
Pokoju;
Staffa;Leopolda
Szkolna;
Worcella;Henryka
Zamkowa;
Jagiellońska;
Jaworska;
Młynarska;
Waryńskiego;Ludwika
Wolbromska;
Kąpielowa;
Kowarska;
Leśna;
Sanatoryjna;
Sarnia;
Turystyczna;
Wilcza;
Łąkowa;
Ogrodowa;
Urocza;
Źródlana;
Bobrowa;
Łowiecka;
Rycerska;
Siewna;
Sudecka;
Szklarska;
Wrzosowa;
Caritas;
Makuszyńskiego;Kornela
Orla Skała;
Podsudecka;
Rataja;Macieja
Wesoła;
Chłopska;
Jasna;
Kościuszki;Tadeusza
Kręta;
Kwiatowa;
Miejski;
Stalowa;
Staszica;Stanisława
Środkowa;
Wybickiego;Józefa
Seniora;
Bema;gen. Józefa
Farbiarska;
Jeleniogórska;
Wiśniowa;
Armii Krajowej;
Boczna;
Stroma;
Wąska;
Wolna;
Bukowa;
Główna;
Kaczawska;
Klonowa;
Nowa;
Podgórze;
Cieplicka;
Złoty Widok;
Demokratów;
Listopada;11
Objazdowa;
Potokowa;
Pionierska;
Sportowa;
Spadochronowa;
Szybowcowa;
Tokarska;
Daszyńskiego;Ignacego
Stapińskiego;
Bujwida;
Bukowy Gaj;
Liczyrzepy;
Błachańca;Andrzeja
Dobra;
Koralowa;
Nefrytowa;
Opalowa;
Róż;
Spółdzielców;
Kupiecka;
Międzyleśna;
Grzybowska;
Pniaki;
Kolonia Leśna;
Jaśminowa;
Krokusowa;
Spokojna;
Wierzbowa;
Górnicza;
Grafitowa;
Wiertnicza;
Paulinowska;
Spadzista;
Brzozowa;
Garncarska;
Hutnicza;
Leśna Góra;
Plac Kościelny;
Rybna;
Wielkie Piece;
Ceglana;
Cisowa;
Dębowa;
Kościelna;
Włókiennicza;
Brzoskwiniowa;
Oławska;
Wiązowska;
Brzegowa;
Starowiejska;
Podgórska;
Floriana;św.
Galla Anonima;
Kadłubka;Wincentego
Okrzei;Stefana
Prusa;Bolesława
Gajowa;
Biskupicka;
Spacerowa;
Styki;Jana
Cyprysowa;
Wiosenna;
Sadowa;
Strażacka;
Żeglarska;
Jastrzębska;
Malczycka;
Kocha;Roberta
Willowa;
Zbożowa;
Markowa;
Solna;
Ekerta;Ludwika
Kalcytowa;
Olszowa;
Świebodzka;
Żarowska;
Witolda;Księcia
Prusicka;
Zagórskiego;
Urazka;
Bystrzycka;
Wyzwolenia;
Pod Lasem;
Wilkszyńska;
Lutyńska;
Fiołkowa;
Miła;
Kopyczyniecka;
Odyniec;
Agnieszki;Księżnej
Bocheńska;
Deszczowa;
Kanonierska;
Muzealna;
Nadbrzeżna;
Plater;Emilii
Podchorążych;
Drukarska;
Fiedlera;Arkadego
Gałczyńskiego;Konstantego Ildefonsa
Rzeckiego;Ignacego
Starojaworska;
Demokratyczna;
Nad Łomnicą;
Ogrodnicza;
Katedralna;
Samorządowa;
Zamkowy;
Stokowa;
Benedyktynów;
Plac Kopernika;
Dywizji;7
Groblowa;
Mieszka II;
Pastelowa;
Bieszczadzka;
Jeżynowa;
Kresowa;
Sztormowa;
Janowicka;
Chłodna;
Dąbrowskiego;
Ewangelicka;
Gliwicka;
Sosnowa;
Strumykowa;
Lubawska;
Łużycka;
Przelot;
Storczykowa;
Kalwaria;
Sądecka;
Rosy;Opata Bernarda
Piaszczysta;
Podlesie;
Szymrychowska;
Zakopiańska;
Kopalniana;
Lutego;11
Niemcewicza;Juliana Ursyna
Żurawinowa;
Royal;
Perłowa;
Na Skrócie;
Muflonowa;
Browarowa;
Katowicka;
Willmanna;Michała
Browarna;
Garbarska;
Tkacka;
Torowa;
Wodna;
Sołecka;
Krakowska;
Okólna;
Zieleniec;
Cedrowa;
Czereśniowa;
Czeska;
Kościelny;
Połabska;
Rakowa;
Zamiejska;
Harcerska;
Kaczeńcowa;
Karłowicza;Mieczysława
Kminkowa;
Krasickiego;Ignacego
Naruszewicza;Adama
Słubicka;
Truskawkowa;
Zgorzelecka;
Żonkilowa;
Polkowicka;
Rubinowa;
Turkusowa;
Południowa;
Usługowa;
Tichego;ks. Edwarda
Błotnista;
Brama Trębaczy;
Oleśnicka;
Marcinowska;
Sułowska;
Widawska;
Chodlewska;
Klonowy;
Różyckiego;Ludomira
Bogatyńska;
Rybarzowicka;
Pożarna;
Śródmiejska;
Biczana;
Piaseczna;
Silesia;
Kopaczy;
Warmińska;
Alberta;Brata
Damrota;
Barlickiego;Norberta
Działkowicza;
Dzierżonia;Jana
Dziwiszowska;
Gielniaka;Józefa
Hallerczyków;
Juszczaka;Franciszka
Kruszwicka;
Książęca;
Zaciszna;
Chałubińskiego;Tytusa
Śnieżna;
Oficerska;
Schroniskowa;
Wysoka;
Lotnicza;
Perła Zachodu;
Bojki;
Na Skałkach;
Ściegiennego;Piotra
Nepomucena;św. Jana
Anielewicza;
Nowa Kolonia;
Kłodzka;
Dąbrówki;
Jedności;
Korytowska;
Kromera;Józefa
Sierpowa;
Jawornik;
Kościelec;
Martwa;
Podjazdowa;
Stara Osada;
Ugory;
Bożkowska;
Tranzytowa;
Kosmiczna;
Huta;
Tyniecka;
Sobócka;
Mietkowska;
Browarniana;
Hołubowiczów;Heleny i Włodzimierza
Pałacowa;
Tartaczna;
Przysiółkowa;
Energetyczna;
Mechaniczna;
Stawna;
Ślężna;
Nowe Osiedle;
Ziębicka;
Bałuckiego;Michała
Krucza;
Przelotowa;
Miękińska;
Szpacza;
Wróblowicka;
Pionierów;
Morwowa;
Gwiaździsta;
Piaskowa;
Agrestowa;
Gałowska;
Ulowa;
Północna;
Skowronkowa;
Dojazdowa;
Jana ze Środy;
Marysieńki;Królowej
Zagrodowa;
Rogatki;Bolesława
Bolkowska;
Pollaka;
Okrajnik;
Karkonoska;
Pusta;
Strzelińska;
Barbórki;
Jordanowski;
Krzepicka;
Podwale;
Ślepa;
Mleczarska;
Wiatrakowa;
Bławatkowa;
Aleja Lipowa;
Składowa;
Wschodnia;
Tunelowa;
Końcowa;
Koszarowa;
Licealna;
Mała Ogrodowa;
Montwiłła;
Ciecholowicka;
Wiązowa;
Miętowa;
Betonowa;
Zdrowa;
Żmigrodzka;
Jakuba;św.
Samarytańska;
Bociania;
Rakowska;
Swobodna;
Solicka;
Łukasiewicza;
Żółkiewskiego;Stefana
Teresy;św.
Zła Droga;
Kościelnik;
Kantowicza;
Łabska;
Mleczna Droga;
Noskowskiego;Zygmunta
Panieńska;
Pijarska;
Pod Chojnikiem;
Wojewódzka;
Złotnicza;
Argentyńska;
Astronomiczna;
Bartoszowska;
Konduktorska;
Psie Budy;
Salezjańska;
Smolecka;
Szajnochy;Karola
Zaułek Wolski;
Bandtkiego;Jerzego Samuela
Brzóski;ks. Stanisława
Cybulskiego;Wojciecha
Dąbska;
Górnickiego;Łukasza
Jackowskiego;Maksymiliana
Kanałowa;
Krajewskiego;Rafała
Piasek;
Rychtalska;
Rydygiera;Ludwika
Tramwajowa;
Canaletta;Bernarda Belotta
Liskego;Ksawerego
Gronowa;
Słońsk Górny;
Droga Gdańska;
Stodólna;
Zjazd;
Pole;
Litewska;
Michałowska;
Nad Stawem;
Rzeźnicka;
Sokołów;
Zakątek;
Klinickiego;Maksymiliana
Grzemskiego;Ludwika
Flamandzka;
Żytnia;
Bratnia;
Sezamkowa;
Przesmyk;
Zaułek Mały;
Kurhanowa;
Izerska;
Kolonijna;
Leszczynowa;
Sielska;
Tysiąclecia;
Wczasowa;
Cicha Dolina;
Narciarska;
Osiedle Huty;
Szklana;
Rudawska;
Karpnicka;
Sułkowskiego;
Szmaragdowa;
Włókniarzy;
Żołnierza;
Żołnierska;
Bolka I;Księcia
Lompy;Józefa
Magazynowa;
Towarowa;
Brandla;Piotra
Szeroka;
Warszawy;
Dusznicka;
Grodzisko;
Ostatnia;
Rodzinna;
Tumska;
Zagórze;
Jakubowice;
Ciemna;
Dworska;
Słupiecka;
Stara Kolonia;
Majowa;
Nastrojowa;
Bełcha;ks. Józefa
Czereńczycka;
Wronia;
Ciepłownicza;
Podwalna;
Księżycowa;
Łanowa;
Ogrody Zamkowe;
Rakoszycka;
Świdnicka;
Winnicza;
Bernarda;Księcia
Folwarczna;
Gdyńska;
Grunwaldzki;
Przy Tamie;
Włosta;Piotra
Pszenna;
Opolska;
Wapienna;
Joannitów;
Kwiska;
Pagórkowa;
Zacisze;
Domeyki;Ignacego
Goduszyńska;
Sabały;
Solankowa;
Wzgórze Wandy;
Zamoyskiego;Andrzeja
Zamek Chojnik;
Brazylijska;
Chłapowskiego;Dezyderego
Cichociemnych;
Cynkowa;
Łysej Góry;
Grabskiego;Władysława
Wileńska;
Żernicka;
Ładna;
Rzeplińska;
Żeglarzy;
Janeckiej;Reginy
Owocowa;
Kasztelański;
Nowe Miasto;
Bratkowa;
Ostróżno;
Barbary;
Bolesławiecka;
Czerwona;
Górnowiejska;
Kasztanowy;
Miejska Górka;
Dunikowskiego;Ksawerego
Lutycka;
Półwiejska;
Rajska;
Szarego;Floriana
Walecznych;
Wandy;
Wielisławska;
Góra Anny;
Obozowa;
Teatralna;
Węglowa Wola;
1000-lecia;
Matuszewskiego;dr. Józefa
Sokołowskiego;dr. Alfreda
Podzamcze;
Sławna;
Nadodrzańska;
Urzędnicza;
Zaułek;
Dobrzenicka;
Zakładowa;
Floksowa;
Jaracza;Stefana
Łubinowa;
Jelenia;
Lubańska;
Bankowa;
Górne Miasto;
Aliantów;
Dzwonkowa;
Handlowa;
Na Skarpie;
Paczkowska;
Sienna;
Orłowicza;Mariana
Miłosza;Czesława
Szybów;
Chmielna;
Czachowskiego;Dionizego
Groszowa;
Henrykowska;
Kotowicka;
Aroniowa;
Kanarkowa;
Kamieniecka;
Daliowa;
Działkowca;
Jagiellonów;
Pilichowska;
Zawiszy;
Oziębłowskiego;Stanisława
Leśników;
Góralska;
Groszkowa;
Hodowców;
Katedralny;
Koziorożca;
Limbowa;
Piechoty;
Pigwowa;
Piotra;św.
Platanowa;
Polarna;
Słowiański;
Sokolska;
Ścinawska;
Targowy;
Purkyniego;Jana Ewangelisty
Barycka;
Chemiczna;
Gersona;Wojciecha
Kluczborska;
Kurkowa;
Monte Cassino;
Mosbacha;Augusta
Most Burzowy;
Na Końcu;
Norblina;Piotra
Nulla;płk. Franciszka
Ostrów Tumski;
Polaka;Benedykta
Sierakowskiego;Zygmunta
Sopocka;
Staromłyńska;
Zaka;Eugeniusza
Młodnickiego;Artura
Bocheńskiego;Adolfa Marii
Drzewna;
Hiacyntowa;
Sasankowa;
Wędkarska;
Nowy Rynek;
Żwirki;
Asfaltowa;
Barwinkowa;
Boruty;
Chmielarska;
Czekoladowa;
Feniksa;
Goplany;
Jantarowa;
Kocia;
Popiela;
Reduty;
Bocianowo;
Gepperta;ks. Ignacego
Karnowska;
Glinica;
Karpiowa;
Marzeń;
Staromłyński;
Bieganówek;
Księżno;
Batorów;
Polne Domy;
Piotrowicka;
Solskiego;Ludwika
Śródpolna;
Biberaska;
Bobrzańska;
Kliczkowska;
Langiewicza;gen. Mariana
Idzikowskiego;Ludwika
Krańcowa;
Michejdy;Tadeusza
Nauczycielska;
Przyjaźni;
Siostrzana;
Wróblewskiego;Walerego
Ofiar Katynia;
Strzelnicza;
Leśniczówka;
Smołowa;
Kępa;
Sępoleńska;
Niechorska;
Więcborska;
Stycznia;31
Obywatelska;
Lipnowska;
Tężniowa;
Żelazna;
Owczarka;ks. Antoniego
Laskowskiego;Heliodora
Relaksowa;
Bazarowa;
Duży Rynek;
Łazienna;
Pułku Piechoty;67
Skarpa;
Skwarna;
Smoczyńskiego;Feliksa
Stepowa;
Wędkarzy;
Przy Strudze;
Żmijewska;
Wigury;
Cynowa;
Cytrynowa;
Krupińskiego;Bolesława
Nowomiejska;
Szajnowicza;Jerzego Iwanowa
Grecki;
Boznańskiej;Olgi
Bokserska;
Chorwacka;
Czarna Droga;
Hetmańska;
Husarska;
Inżynierska;
Jasińskiego;gen. Jakuba
Kolberga;Oskara
Okulickiego;gen. Leopolda
Pańska;
Pola;Wincentego
Ślężańska;
Patronacka;
Aleje Lipowe;
Nadleśna;
Pocztowy;
Prądzyńskiego;Ignacego
Słowicza;
Ułańska;
Wadowicka;
Leszka Białego;
Puszkina;Aleksandra
Agatowa;
Tomasza;św.
Wołowska;
Pochyła;
Śliwowa;
Golfowa;
Floretowa;
Azaliowa;
Przy Krzyżu;
Tetmajera;Kazimierza
Pankowicka;
Dwóch Mieczy;
Kownackiego;Kazimierza
Siemianicka;
Obornicka;
Wypoczynkowa;
Brzeska;
Jędrzejowska;
Wrześni;
Modrakowa;
Nektarowa;
Łęczyńska;
Bednarska;
Elekcyjna;
Granatowa;
Herbaciana;
Lotna;
Planetarna;
Na Stawy;
Partyzancka;
Tatarakowa;
Kandydaty;
Włóki;
Świętoduska;
Wiklinowa;
Domaszewska;
Kaszubskiego;Ryszarda
Gontowa;
Kapliczna;
Nike;
Trawiasta;
Gradowa;
Śluzowa;
Plac 1 Maja;
Bartkowskiego;Edmunda
Potulicka;
Zanotecie;
Klimackiego;ks. Ignacego
Brzezińskiego;
Chrobrego;
Zamek;
Mączkowskiego;ks. Władysława
Karasiowa;
Osada Leśna;
Merlina;
Wieczorka;ks. Jana
Kurzawy;
Nadgoplańska;
Cholewińskiego;dr. Wł.
Koronowska;
Kamińskiego;
Runowska;
Jazdy Polskiej;
Batorego;
700-lecia;
Ślusarska;
Targowisko;
Starogardzka;
Stary Tartak;
Chełmińska;
Kociewska;
Spławna;
Małomicka;
Milenijna;
Rogoźnicka;
Cembrowskiego;ks. Mariana
Gierymskiego;Aleksandra
Trzebnicka;
Sępia;
Tymiankowa;
Kaszycka;
Pietrowicka;
Leszczyńskiej;Marii
Kryniczna;
Ludowy;
Mazowiecka;
Miernicza;
Podolska;
Riedla;Jana
Sowia;
Trybunalska;
Trzeboszańska;
Wielecka;
Włostowica;Piotra
Słobódzkiego;Mieczysława Kozara
Promienna;
Widna;
Pio;św. Ojca
Bazaltowa;
Kwarcowa;
Kościuszkowców;
Olszańska;
Konwiktorska;
Łapiguz;
Madejów;
Nowopijarska;
Opłotki;
Radzyńska;
Stankiewicza;Ryszarda
Szaniawskiego;Felicjana
Trzaskoniec;
Wilczyńskiego;Franciszka
Wirskiego;Stanisława
Tryboniów;Janiny i Antoniego
Zakolejna;
Pijarów;Ojców
Cetnarskich;
Ostoi;
Śniegockich;
Gumienna;
Godowska;
Ratoszyńska;
Trzcińskiego;hr. Dionizego
Popijarska;
Zatorze;
Elsterska;
Szafirowa;
Topazowa;
Młodzieżowa;
Orężna;
Sempołowskiej;Stefanii
Siemiradzkiego;Henryka
Krokusów;
Storczyków;
Goleszańska;
Nizinna;
Bosmańska;
Bielowskiego;Augusta
Bajdara;
Polanicka;
Morawka;
Bobrownicka;
Poźniaków;Anny i Juliusza
Bagienna;
Kunicka;
Marynarska;
Zimna;
Jaśkowicka;
Janczarska;
Kwietnia;9
Dientzenhofera;Kiliana Ignacego
Rymszy;Antoniego
Piramowicza;Grzegorza
Grodzieńska;
Gryfowska;
Czatkowicka;
Tracewskiej;Eugenii
Gryczana;
Osada Bystre;
Sucharskiego;mjr. Henryka
Pęgowska;
Górkowicka;
Konicza;Tadeusza
Poluszyńskiego;
Romera;Eugeniusza
Piastowskie;
Wójta Henryka;
Sztukowskiego;Bolesława
Zagajnikowa;
Pieszkowska;
Felczerska;
Płakowicka;
Betleja;kpt. Stanisława
Krośnicka;
Kuźnicza;
Szosowa;
Wierzchowicka;
Pożarnicza;
Husytów;
Skalnicza;
Sędziwa;
Ludwika I;Księcia
Fałata;Juliana
Konrada;
Gospodarcza;
Lubuska;
Sieradzka;
Borówkowa;
Cinciały;Andrzeja
Dziecinna;
Elsnera;Józefa
Góra Bohaterów;
Hirszfelda;Ludwika
Kubsza;Wilhelma
Maciejowska;
Nerudy;Pablo
Niećki;Józefa
Stanisławowska;
Zwierzyckiego;prof. Józefa
Pruzi;Mikołaja
Bilińskiego;Jana
Andromedy;
Jowisza;
Marsowa;
Hoża;
Przedszkolaków;
Krawczyńskiego;Siergieja
Waszczuka;Bolesława
Opolowska;
Transportowa;
Przejazdowa;
Lotników;
Przyjaciół;
Spółdzielczy;
Koszykowa;
Borowina;
Maczka;gen. Stanisława
Kostowskiego;Macieja
Ceramiczna;
Plażowa;
Rybińska;
Asama;Kosmy Damiana
Kmicica;
Jaspisowa;
Siedlecka;
Morozowiczowej;Natalii
Motylowa;
Mroźna;
Nad Torem;
Opławiec;
Orlińskiego;Bolesława
Pakoska;
Palisandrowa;
Paprocia;
Pelikanowa;
Piekary;
Piórka;Władysława
Planktonowa;
Plonowa;
Pod Blankami;
Posłusznego;Leona
Pruszkowska;
Przyleśna;
Przyrzecze;
Rakietowa;
Żagańska;
Zawidowska;
Grudnia;5
Potrójna;
Gminna;
Jerzmanicka;
Daniłowskiego;Gustawa
Flisaków;
Grudziądzka;
Okopowa;
Picassa;Pablo
Podgórzyńska;
Skarżyńskiego;Stanisława
Skowronków;
Sobieskiej;Marysieńki
Sokoliki;
Tabaki;Wojciecha
Balonowa;
Małopolna;
Rzepakowa;
Sidły;Janusza
Solnicka;
Murarzy;
Niklowa;
Nowowiejskiego;Feliksa
Orłowity;Marcina
Palińskiego;Piotra
Pałubickiego;Rajmunda
Patrolowa;
Pestalozziego;Jana
Płocka;
Podłużna;
Porazińskiej;Janiny
Przewoźników;
Przy Lotnisku;
Przyłubska;
Sobieszowska;
Boiskowa;
Ciesielska;
Pawła;św.
Solidarności;
Solny;
Starogroblowa;
Szczepińska;
Szczepiński;
Michalczyka;Kazimierza
Nankiera;bp.
Biegasa;Bolesława
Kominka;kard. Bolesława
Libelta;Karola
Lipińskiego;Karola
Mianowskiego;Józefa
Most Młyński;
Most Tumski;
Nobla;Alfreda
Orłowskiego;Aleksandra
Otwarta;
Pankiewicza;Józefa
Promień;
Srocza;
Śniadeckich;Jana i Jędrzeja
Urbańskiego;Jana Jerzego
Wittiga;Edwarda
Wrocławczyka;Michała
Wystawowa;
Nad Zalewem;
Sosabowskiego;gen. Stanisława
Heweliusza;Jana
Kiepury;Jana
Klonowica;Sebastiana
Lotnictwa;
Malinnik;
Studencka;
Sygietyńskiego;Tadeusza
Szewska;
Zarzeczna;
Pod Wałami;
Bartnicza;
Beskidzka;
Biegunowa;
Bytomska;
Dekarska;
Dobrzejowska;
Franciszkański;
Gombrowicza;Witolda
Hubalczyków;
Jastruna;Mieczysława
Wyspowa;
Dymińsko Dolna;
Bacha;Jana Sebastiana
Śmiała;
Tomaszka;Ojca Michała
Rogali;Wincentego
